0,광어초밥,ヒラメ寿司,Flatfish Sushi,3000
1,묵은지광어초밥,熟成キムチヒラメ寿司,Aged Kimchi Flatfish Sushi,3000
2,광어지느러미초밥,ヒラメえんがわ寿司,Flatfish Fin Sushi,3000
3,점성어초밥,レッドドラム寿司,Red Drum Sushi,1500
4,초새우초밥,蒸しエビ寿司,Cooked Shrimp Sushi,1500
5,갑오징어초밥,コウイカ寿司,Cuttlefish Sushi,1500
6,오징어초밥,イカ寿司,Squid Sushi,1000
7,유부초밥,いなり寿司,Inari Sushi,1000
8,계란초밥,玉子寿司,Egg Sushi,1000
9,육사시미초밥,牛刺し寿司,Raw Beef Sushi,3000
10,게살초밥,カニ寿司,Crab Meat Sushi,1000
11,연어초밥,サーモン寿司,Salmon Sushi,3000
12,연어뱃살초밥,サーモンハラス寿司,Salmon Belly Sushi,3000
13,치즈소라초밥,チーズつぶ貝寿司,Cheese Whelk Sushi,1500
14,참치대뱃살초밥,大トロ寿司,Fatty Tuna Sushi,6000
15,간장새우초밥,醤油漬けエビ寿司,Soy-marinated Shrimp Sushi,3000
16,가리비치즈초밥,チーズホタテ寿司,Cheese Scallop Sushi,3000
17,숭어초밥,ボラ寿司,Mullet Sushi,1500
18,묵은지숭어초밥,熟成キムチボラ寿司,Aged Kimchi Mullet Sushi,1500
19,연어파인초밥,サーモンパイン寿司,Salmon Pineapple Sushi,1500
20,스테이크초밥,ステーキ寿司,Steak Sushi,3000
21,아귀간군함,あん肝軍艦,Monkfish Liver Gunkan,6000
22,성게알군함,ウニ軍艦,Sea Urchin Gunkan,6000
23,토핑연어초밥,トッピングサーモン寿司,Topped Salmon Sushi,3000
24,구운연어초밥,炙りサーモン寿司,Seared Salmon Sushi,3000
25,홍민어초밥,レッドドラム寿司,Red Drum Sushi,3000
26,묵은지활어초밥,熟成キムチ白身魚寿司,Aged Kimchi Fresh Fish Sushi,3000
27,눈다랑어초밥,メバチマグロ寿司,Bigeye Tuna Sushi,3000
28,황새치뱃살초밥,メカジキ腹身寿司,Swordfish Belly Sushi,6000
29,구운참치초밥,炙りマグロ寿司,Seared Tuna Sushi,3000
30,가리비초밥,ホタテ寿司,Scallop Sushi,3000
31,마늘가리비초밥,ガーリックホタテ寿司,Garlic Scallop Sushi,3000
32,한치초밥,ケンサキイカ寿司,Spear Squid Sushi,1500
33,소라초밥,つぶ貝寿司,Whelk Sushi,1000
34,생새우초밥,生エビ寿司,Raw Shrimp Sushi,1500
35,생새우마늘구이초밥,ガーリック炙りエビ寿司,Garlic Grilled Shrimp Sushi,3000
36,계란새우초밥,玉子エビ寿司,Egg Shrimp Sushi,1500
37,계란장어초밥,玉子うなぎ寿司,Egg Eel Sushi,3000
38,구운관자초밥,炙り貝柱寿司,Seared Scallop Sushi,6000
39,구운소라초밥,炙りつぶ貝寿司,Seared Whelk Sushi,1500
40,가지소라초밥,ナスつぶ貝寿司,Eggplant Whelk Sushi,1500
41,도미뱃살조림초밥,鯛腹身煮付け寿司,Simmered Sea Bream Belly Sushi,6000
42,타코와사비초밥,たこわさび寿司,Octopus Wasabi Sushi,1500
43,날치알군함,とびこ軍艦,Flying Fish Roe Gunkan,1000
44,육회초밥,ユッケ寿司,Beef Tartare Sushi,3000
45,우삼겹초밥,牛バラ寿司,Beef Belly Sushi,1500
46,후톳마끼,太巻き,Futomaki,6000
47,치즈새우롤,チーズエビロール,Cheese Shrimp Roll,6000
48,구운연어롤,炙りサーモンロール,Seared Salmon Roll,6000
49,고구마롤,サツマイモロール,Sweet Potato Roll,6000
50,새우튀김롤,エビフライロール,Shrimp Tempura Roll,6000
51,김마끼,海苔巻き,Seaweed Roll,6000
52,파인애플,パイナップル,Pineapple,8000
53,가라아게,唐揚げ,Karaage,12000
54,새우튀김,エビフライ,Fried Shrimp,3000
55,미니 모밀,ミニそば,Mini Soba,5000
56,미니 우동,ミニうどん,Mini Udon,5000
57,사이다,サイダー,Sprite,1000
58,콜라,コーラ,Coke,1000
59,제로콜라,ゼロコーラ,Coke Zero,1000
